step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
1,1765077451.6565022,28.204303741455078,5.300321578979492,10.232666015625,11.582745552062988,1.088569164276123,,,200.40124444152784,7.646747657110474,,,0.03125,0,9.331212043762207,0,0.0625,0,0.025,0.0625,11.349856850802736,8.878397941589355,0.0,25.56698703765869,10.012912339765606
2,1765077477.6052506,27.857797622680664,5.294797897338867,9.90668773651123,11.540709495544434,1.115602731704712,30.308494758605956,5.316010475158691,199.29734337264586,7.638778669000095,203.5701141357422,7.669381949825226,0.03125,0,9.540322303771973,0,0.125,0,0.05,0.125,11.632400233782828,9.152060508728027,0.0,25.947746992111206,9.865981816372368
3,1765077754.961483,31.177627563476562,5.314938545227051,10.209099769592285,9.610356330871582,6.043231964111328,,,203.35201579288187,7.667835481828668,,,0.03125,0,9.194029808044434,0,0.1875,0,0.07500000000000001,0.1875,20.50933969354239,19.355621337890625,0.0,25.144155502319336,10.181292427036817
4,1765077780.0552752,27.93112564086914,5.1368913650512695,10.084826469421387,6.725250244140625,5.984158039093018,26.4986665725708,4.860400390625,170.1858993289577,7.4109676979448045,129.0758514404297,7.012075540289469,0.03125,0,9.614834785461426,0,0.25,0,0.1,0.25,18.601626229577242,17.80026626586914,0.0,25.0937922000885,10.20172630580312
5,1765078056.2730079,27.933650970458984,4.893055438995361,11.928177833557129,3.0163180828094482,8.096099853515625,,,133.3604268264075,7.059186816633378,,,0.0312500037252903,0,5.8977837562561035,0,0.24970859289169312,0,0.09988343715667725,0.24970859289169312,20.390811071414443,20.172409057617188,0.0,25.250736474990845,10.138318153751705
6,1765078081.5323956,23.86180305480957,5.280827522277832,10.962325096130371,0.540712296962738,7.077938079833984,19.010088539123537,6.5824137210845945,196.53244305326726,7.618623678180181,722.2805786132812,9.496415632488214,0.0312500037252903,0,0.9014443159103394,0,0.2488357424736023,0,0.09953429698944093,0.2488357424736023,20.756897236368665,20.660104751586914,0.0,25.259387731552124,10.134845813393335
7,1765078358.2543721,23.655956268310547,6.607442855834961,8.903131484985352,1.068833589553833,7.076547622680664,,,740.5868080729372,9.532525041070308,,,0.03125,0,0.7242199778556824,0,0.24738551676273346,0,0.09895420670509339,0.24738551676273346,20.713615479463787,20.017635345458984,0.0,25.312382698059082,10.113627114986285
8,1765078383.4830086,24.077571868896484,7.025494575500488,8.491747856140137,1.3727566003799438,7.187573432922363,15.87205982208252,6.4926529884338375,1124.9507945458236,10.135646183866868,660.272705078125,9.366918268626407,0.03125,0,0.7933640480041504,0,0.24536466598510742,0,0.09814586639404298,0.24536466598510742,18.44989322246995,17.43178939819336,0.0,25.228636503219604,10.147199194349248
9,1765078661.1863406,21.872051239013672,6.506467342376709,8.70559310913086,1.0153905153274536,5.644598960876465,,,669.4572720293729,9.386848168552872,,,0.03125,0,0.8751870393753052,0,0.24278263002634048,0,0.0971130520105362,0.24278263002634048,17.961409017330624,17.18284797668457,0.0,25.240548133850098,10.142410483418876
10,1765078686.466981,19.578731536865234,5.564047813415527,8.426480293273926,0.5515031814575195,5.036701202392578,11.969842052459716,4.757460069656372,260.87668213216136,8.027224187683663,116.44978332519531,6.863564049720511,0.03125,0,0.9608274102210999,0,0.23965142667293549,0,0.0958605706691742,0.23965142667293549,17.356065153982545,17.04959487915039,0.0,25.280640363693237,10.126325770119895
